,Postcode,Borough,Neighbourhood,Postcode,Latitude,Longitude
75,M6E ,York ,"Caledonia-Fairbanks ,Caledonia-Fairbanks",M6G,43.669542,-79.4225637
76,M6G ,Downtown Toronto ,"Christie ,Christie",M6H,43.66900510000001,-79.4422593
77,M6H ,West Toronto ,"Dufferin, Dovercourt Village ,Dufferin, Dovercourt Village",M6J,43.647926700000006,-79.4197497
78,M6J ,West Toronto ,"Little Portugal, Trinity ,Little Portugal, Trinity",M6K,43.6368472,-79.42819140000002
79,M6K ,West Toronto ,"Brockton, Parkdale Village, Exhibition Place ,Brockton, Parkdale Village, Exhibition Place",M6L,43.713756200000006,-79.4900738
80,M6L ,North York ,"North Park, Maple Leaf Park, Upwood Park ,North Park, Maple Leaf Park, Upwood Park",M6M,43.6911158,-79.47601329999999
81,M6M ,York ,"Del Ray, Mount Dennis, Keelsdale and Silverthorn ,Del Ray, Mount Dennis, Keelsdale and Silverthorn",M6N,43.67318529999999,-79.48726190000001
82,M6N ,York ,"Runnymede, The Junction North ,Runnymede, The Junction North",M6P,43.6616083,-79.46476329999999
83,M6P ,West Toronto ,"High Park, The Junction South ,High Park, The Junction South",M6R,43.6489597,-79.456325
84,M6R ,West Toronto ,"Parkdale, Roncesvalles ,Parkdale, Roncesvalles",M6S,43.6515706,-79.4844499
85,M6S ,West Toronto ,"Runnymede, Swansea ,Runnymede, Swansea",M7A,43.6623015,-79.3894938
86,M7A ,Downtown Toronto ,"Queen's Park, Ontario Provincial Government ,Queen's Park, Ontario Provincial Government",M7R,43.6369656,-79.61581899999999
87,M7R ,Mississauga ,"Canada Post Gateway Processing Centre ,Canada Post Gateway Processing Centre",M7Y,43.6627439,-79.321558
88,M7Y ,East Toronto ,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto ,Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",M8V,43.6056466,-79.50132070000001
89,M8V ,Etobicoke ,"New Toronto, Mimico South, Humber Bay Shores ,New Toronto, Mimico South, Humber Bay Shores",M8W,43.60241370000001,-79.54348409999999
90,M8W ,Etobicoke ,"Alderwood, Long Branch ,Alderwood, Long Branch",M8X,43.653653600000005,-79.5069436
91,M8X ,Etobicoke ,"The Kingsway, Montgomery Road, Old Mill North ,The Kingsway, Montgomery Road, Old Mill North",M8Y,43.6362579,-79.49850909999999
92,M8Y ,Etobicoke ,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East ,Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",M8Z,43.6288408,-79.52099940000001
93,M8Z ,Etobicoke ,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West ,Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",M9A,43.6678556,-79.53224240000002
94,M9A ,Etobicoke ,"Islington Avenue, Humber Valley Village ,Islington Avenue, Humber Valley Village",M9B,43.6509432,-79.55472440000001
95,M9B ,Etobicoke ,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale ,West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",M9C,43.6435152,-79.57720079999999
96,M9C ,Etobicoke ,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood ,Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",M9L,43.7563033,-79.56596329999999
97,M9L ,North York ,"Humber Summit ,Humber Summit",M9M,43.7247659,-79.53224240000002
98,M9M ,North York ,"Humberlea, Emery ,Humberlea, Emery",M9N,43.706876,-79.51818840000001
99,M9N ,York ,"Weston ,Weston",M9P,43.696319,-79.53224240000002
100,M9P ,Etobicoke ,"Westmount ,Westmount",M9R,43.6889054,-79.55472440000001
101,M9R ,Etobicoke ,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens ,Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",M9V,43.739416399999996,-79.5884369
102,M9V ,Etobicoke ,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens ,South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",M9W,43.706748299999994,-79.5940544
